"modell","inverkehrssetzung","fahrzeugart","aussenfarbe","kilometer","getriebeart","antrieb","treibstoff","tueren","sitze","innenfarbe","hubrauminccm","zylinder","leistunginps","leergewicht","verbrauch","co2.emission","energieeffizienz","abmfk","garantie","preis"
"VW Golf 1.4 TSI Comfort(Kombi)","10-2010","Occasion","schwarz","21'100 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 26'690.- "
"VW Golf 1.4 TSI Comfort(Kombi)","10-2010","Occasion","schwarz","21'400 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'590.- "
"VW Golf 1.4 TSI Comfort(Kombi)","09-2007","Occasion","schwarz","51'700 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,140,"1428 kg","7.1 l/100km","169 g/km","D",FALSE,"12 Monate","CHF 20'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","06-2010","Occasion","schwarz","19'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 24'500.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","20'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'600.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","grau","20'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 24'600.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","11'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'500.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","19'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 26'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","23'600 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'600.- "
"VW Golf 1.4 TSI Comfort(Kombi)","07-2010","Occasion","silber","30'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 23'800.- "
"VW Golf 1.4 TSI Comfort(Kombi)","10-2010","Occasion","schwarz","18'400 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'890.- "
"VW Golf 1.4 TSI Comfort(Kombi)","10-2009","Occasion","silber","14'200 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","B",FALSE,"0 Monate","CHF 29'800.- "
"VW Golf 1.4 TSI Comfort(Kombi)","08-2008","Occasion","schwarz","42'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,170,"1437 kg","7.3 l/100km","174 g/km","D",FALSE,"12 Monate","CHF 26'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","silber","27'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",TRUE,"12 Monate","CHF 25'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","07-2008","Occasion","schwarz","35'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,140,"1428 kg","7.1 l/100km","169 g/km","D",FALSE,"12 Monate","CHF 22'500.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2008","Occasion","rot","20'500 km","Automat","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,140,"1451 kg","7.1 l/100km","169 g/km","C",TRUE,"12 Monate","CHF 23'650.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","21'300 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'950.- "
"VW Golf 1.4 TSI Comfort(Kombi)","07-2010","Occasion","silber","27'600 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'460.- "
"VW Golf 1.4 TSI Comfort(Kombi)","06-2010","Occasion","schwarz","16'200 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 24'800.- "
"VW Golf 1.4 TSI Comfort(Kombi)","10-2009","Vorfuehrwagen","silber","8'800 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"24 Monate","CHF 24'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","01-2010","Occasion","silber","10'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 24'500.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2009","Occasion","blau","35'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'980.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2010","Occasion","grau","20'700 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 24'500.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","21'270 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'300.- "
"VW Golf 1.4 TSI Comfort(Kombi)","08-2008","Occasion","grau","33'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,140,"1428 kg","7.1 l/100km","169 g/km","D",FALSE,"0 Monate","CHF 24'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","09-2010","Occasion","schwarz","16'650 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'490.- "
"VW Golf 1.4 TSI Comfort(Kombi)","11-2010","Occasion","schwarz","18'200 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'990.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2011","Occasion","grau","15'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 26'600.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","20'550 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'970.- "
"VW Golf 1.4 TSI Comfort(Kombi)","06-2010","Vorfuehrwagen","silber","16'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 27'300.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","grau","28'790 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 26'500.- "
"VW Golf 1.4 TSI Comfort(Kombi)","08-2010","Occasion","grau","30'563 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,160,"1460 kg","6.4 l/100km","143 g/km","B",FALSE,"0 Monate","CHF 29'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","04-2008","Occasion","silber","54'100 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1390,4,140,"1428 kg","7.1 l/100km","169 g/km","D",FALSE,"12 Monate","CHF 19'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","06-2010","Occasion","silber","27'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",TRUE,"12 Monate","CHF 23'500.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","19'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 24'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","silber","23'330 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","silber","21'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'550.- "
"VW Golf 1.4 TSI Comfort(Kombi)","07-2010","Occasion","schwarz","28'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","08-2010","Occasion","grau","19'300 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 24'800.- "
"VW Golf 1.4 TSI Comfort(Kombi)","11-2010","Occasion","schwarz","21'150 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'890.- "
"VW Golf 1.4 TSI Comfort(Kombi)","07-2010","Occasion","schwarz","22'402 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'700.- "
"VW Golf 1.4 TSI Comfort(Kombi)","06-2010","Occasion","silber","9'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",TRUE,"0 Monate","CHF 27'300.- "
"VW Golf 1.4 TSI Comfort(Kombi)","11-2010","Occasion","schwarz","16'800 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 27'150.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","14'400 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 27'390.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2010","Occasion","silber","12'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"24 Monate","CHF 26'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2011","Occasion","schwarz","19'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 26'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","01-2011","Occasion","grau","21'100 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2011","Occasion","schwarz","21'200 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2011","Occasion","grau","22'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'500.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","20'200 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","silber","25'800 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'500.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2008","Occasion","silber","42'800 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1390,4,140,"1428 kg","7.1 l/100km","169 g/km","D",TRUE,"12 Monate","CHF 22'750.- "
"VW Golf 1.4 TSI Comfort(Kombi)","01-2011","Occasion","grau","21'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 24'980.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","grau","20'110 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","19'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 24'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","01-2011","Occasion","schwarz","25'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 24'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","25'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","22'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"24 Monate","CHF 24'860.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2011","Occasion","silber","11'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'450.- "
"VW Golf 1.4 TSI Comfort(Kombi)","08-2007","Occasion","schwarz","58'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,140,"1428 kg","7.1 l/100km","169 g/km","D",FALSE,"12 Monate","CHF 18'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","18'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 24'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","grau","26'790 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 24'980.- "
"VW Golf 1.4 TSI Comfort(Kombi)","11-2010","Occasion","schwarz","21'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 26'350.- "
"VW Golf 1.4 TSI Comfort(Kombi)","11-2010","Occasion","schwarz","21'090 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","19'790 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","24'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 23'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2011","Occasion","silber","3'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",TRUE,"12 Monate","CHF 27'500.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2011","Occasion","schwarz","26'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 24'500.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","grau","29'259 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'300.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","silber","24'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 25'450.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","grau","29'200 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'700.- "
"VW Golf 1.4 TSI Comfort(Kombi)","04-2008","Occasion","schwarz","51'371 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1385 kg","6.4 l/100km","153 g/km","C",FALSE,"12 Monate","CHF 18'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2011","Occasion","schwarz","15'316 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 26'900.- "
"VW Golf 1.4 TSI Comfort(Kombi)","02-2011","Occasion","schwarz","13'790 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"24 Monate","CHF 26'950.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","20'600 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 27'400.- "
"VW Golf 1.4 TSI Comfort(Kombi)","12-2010","Occasion","schwarz","14'779 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 26'200.- "
"VW Golf 1.4 TSI High(Kombi)","04-2010","Vorfuehrwagen","silber","17'900 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1426 kg","6.3 l/100km","139 g/km","B",FALSE,"24 Monate","CHF 29'900.- "
"VW Golf 1.4 TSI High(Kombi)","06-2010","Occasion","schwarz","6'400 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"beige",1390,4,160,"1448 kg","6.6 l/100km","149 g/km","C",FALSE,"12 Monate","CHF 29'900.- "
"VW Golf 1.4 TSI High(Kombi)","04-2011","Occasion","braun","350 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 28'500.- "
"VW Golf 1.4 TSI High(Kombi)","04-2011","Occasion","braun","350 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 28'500.- "
"VW Golf 1.4 TSI High(Kombi)","04-2011","Occasion","silber","350 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 28'900.- "
"VW Golf 1.4 TSI Sport(Kombi)","02-2009","Occasion","blau","23'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,160,"1429 kg","6.6 l/100km","154 g/km","C",FALSE,"12 Monate","CHF 28'500.- "
"VW Golf 1.4 TSI Sport(Kombi)","01-2008","Occasion","blau","65'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,140,"1428 kg","7.1 l/100km","169 g/km","D",TRUE,"12 Monate","CHF 26'700.- "
"VW Golf 1.4 TSI Sport(Kombi)","05-2008","Occasion","blau","33'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,170,"1437 kg","7.3 l/100km","174 g/km","D",FALSE,"3 Monate","CHF 26'500.- "
"VW Golf 1.4 TSI Sport(Kombi)","05-2009","Occasion","blau","34'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,160,"1429 kg","6.6 l/100km","154 g/km","C",FALSE,"12 Monate","CHF 25'390.- "
"VW Golf 1.4 TSI Sport(Kombi)","07-2008","Occasion","silber","29'960 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,140,"1428 kg","7.1 l/100km","169 g/km","D",FALSE,"12 Monate","CHF 24'500.- "
"VW Golf 1.4 TSI Sport(Kombi)","10-2007","Occasion","schwarz","40'601 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,170,"1437 kg","7.3 l/100km","174 g/km","D",TRUE,"12 Monate","CHF 23'900.- "
"VW Golf 1.4 TSI Sport(Kombi)","07-2007","Occasion","grau","82'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1390,4,140,"1428 kg","7.1 l/100km","169 g/km","D",TRUE,"0 Monate","CHF 16'900.- "
"VW Golf 1.4 TSI Sport(Kombi)","12-2008","Occasion","grau","72'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,122,"1385 kg","6.4 l/100km","153 g/km","C",FALSE,"12 Monate","CHF 16'500.- "
"VW Golf 1.4 TSI Sport(Kombi)","05-2009","Occasion","schwarz","24'500 km","Automat","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,122,"1385 kg","6.3 l/100km","148 g/km","B",FALSE,"24 Monate","CHF 29'800.- "
"VW Golf 1.4 TSI Sport(Kombi)","07-2008","Occasion","anthrazit","42'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1390,4,170,"1437 kg","7.3 l/100km","174 g/km","D",TRUE,"12 Monate","CHF 23'900.- "
"VW Golf 1.4 TSI Sport(Kombi)","08-2007","Occasion","anthrazit","63'100 km","Automat","Vorderradantrieb","Benzin",5,5,"grau",1390,4,170,"1458 kg","7.4 l/100km","176 g/km","D",FALSE,"12 Monate","CHF 21'300.- "
"VW Golf 1.4 TSI Sport(Kombi)","11-2007","Occasion","schwarz","29'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1390,4,170,"1437 kg","7.3 l/100km","174 g/km","D",FALSE,"0 Monate","CHF 19'800.- "
"VW Golf 1.4 TSI Sport(Kombi)","07-2007","Occasion","silber","45'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1390,4,140,"1428 kg","7.1 l/100km","169 g/km","D",FALSE,"0 Monate","CHF 21'900.- "
"VW Golf 1.4 TSI Sport(Kombi)","04-2009","Occasion","rot","55'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,160,"1429 kg","6.6 l/100km","154 g/km","C",FALSE,"12 Monate","CHF 25'900.- "
"VW Golf 1.4 TSI Sport(Kombi)","08-2007","Occasion","grau","40'000 km","Automat","Vorderradantrieb","Benzin",5,5,"grau",1390,4,140,"1451 kg","7.1 l/100km","169 g/km","C",TRUE,"24 Monate","CHF 22'800.- "
"VW Golf 1.4 TSI Sport(Kombi)","10-2007","Occasion","blau","24'800 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1390,4,140,"1428 kg","7.1 l/100km","169 g/km","D",FALSE,"12 Monate","CHF 24'900.- "
"VW Golf 1.4 TSI Team(Kombi)","05-2011","Vorfuehrwagen","silber","5'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"24 Monate","CHF 28'000.- "
"VW Golf 1.4 TSI Team(Kombi)","01-2011","Vorfuehrwagen","silber","10'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 27'900.- "
"VW Golf 1.4 TSI Trend(Kombi)","06-2009","Occasion","silber","33'400 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,122,"1385 kg","6.4 l/100km","153 g/km","C",FALSE,"12 Monate","CHF 20'900.- "
"VW Golf 1.4 TSI Trend(Kombi)","08-2010","Occasion","schwarz","5'800 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"12 Monate","CHF 24'900.- "
"VW Golf 1.4 TSI Trend(Kombi)","06-2009","Occasion","silber","25'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,122,"1385 kg","6.4 l/100km","153 g/km","C",FALSE,"12 Monate","CHF 20'700.- "
"VW Golf 1.4 TSI Trend(Kombi)","07-2009","Occasion","schwarz","35'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1385 kg","6.4 l/100km","153 g/km","C",FALSE,"0 Monate","CHF 23'500.- "
"VW Golf 1.4 TSI Trend(Kombi)","09-2010","Occasion","schwarz","31'390 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 25'900.- "
"VW Golf 1.4 TSI Trend(Kombi)","03-2010","Occasion","grau","21'692 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1426 kg","6.3 l/100km","139 g/km","B",FALSE,"0 Monate","CHF 29'900.- "
"VW Golf 1.4 TSI Trend(Kombi)","01-2010","Occasion","schwarz","27'185 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1390,4,122,"1394 kg","6.5 l/100km","151 g/km","C",FALSE,"0 Monate","CHF 26'900.- "
